# Commit metadata for kyrox-systems-hq/Kyrox-PM-Staging
# Generated: 2026-01-16T03:40:19.933030
# Format: YYYY-MM-DD | <short_hash> | <subject>
# Total commits: 559
#
2026-01-15 | 959152a | Replace landing header text with logo (#77)
2026-01-15 | 52ab85d | Add landing logo assets (#76)
2026-01-15 | 2ab0c3f | Finalise landing, legal pages, public links, and pre-merge documentary reconciliation (#75)
2026-01-14 | 5c7223d | Update landing infra documentation (#72)
2026-01-14 | 0619ba6 | Update landing DNS and OAC documentation (#73)
2026-01-13 | f9eea2f | Fix landing privacy and terms links (#70)
2026-01-13 | 9528bea | Fix footer links for static pages (#71)
2026-01-10 | fcf57fb | Add static landing bundle and document Option C (#67)
2026-01-10 | fc23754 | chore(landing): trigger S3 deploy (#69)
2026-01-10 | db51f47 | Document canonical domain and URLs (#66)
2026-01-10 | d64fab3 | Reorder P3 infrastructure backlog tasks (#64)
2026-01-10 | a57d24b | Mark INFRA-01 as complete in backlog (#65)
2026-01-10 | 1207523 | chore(landing): deploy to S3 via GitHub OIDC (#68)
2026-01-09 | f9d778f | Add local OIDC stub and Playwright E2E harness for network-limited environments (#63)
2026-01-09 | df7191f | Saved progress at the end of the loop
2026-01-09 | c1e6a33 | Transitioned from Plan to Build mode
2026-01-09 | 82d92f9 | Centralize database connection pool across the application
2026-01-09 | 0815ee0 | Transitioned from Plan to Build mode
2026-01-08 | 40c0173 | Tenant isolation test hardening (TST-01–TST-06) (#61)
2026-01-08 | 37272a8 | Update
2026-01-08 | 22f42a1 | Tenant isolation hardening: enforcement, CI gates, docs, and type safety (#60)
2026-01-08 | 1955264 | Update tenant hardening programme docs (#62)
2026-01-07 | dded91d | P2 PIPE-01–06: pipeline tenant isolation enforcement + org error telemetry (#58)
2026-01-07 | 8310611 | P2 tenant hardening complete: backend org isolation (BE-01–BE-06) + docs reconciliation (#56)
2026-01-07 | 7191d60 | P2 PIPE-01–03: chat ingress, resolver/hydration, and executor org enforcement (#57)
2026-01-07 | 4857a3f | Docs: reconcile FE-01..FE-05 status, fix test registry IDs, and update repo map (#59)
2026-01-05 | d012a8a | Transitioned from Plan to Build mode
2026-01-05 | cba40b5 | Update project organization and enforce data integrity for all projects
2026-01-05 | a3af54a | Update
